clip_id,bin,flow_mag,photometric_l1
droid_0000,0,0.017778171226382256,0.007846197346225381
droid_0001,0,0.06706813563193594,0.006557320061671946
droid_0002,0,0.019458482707185403,0.008256688946858048
droid_0003,0,0.032655605647180765,0.005442562197068972
droid_0004,0,0.028782401766095842,0.004694467393814453
droid_0005,0,0.03484973830303976,0.0046449186047539115
droid_0006,0,0.022625145768480643,0.004346399518129017
droid_0007,0,0.4367023546780859,0.012172499472009284
droid_0008,0,0.043331549769001346,0.008776962890156679
droid_0009,0,0.1043452914538128,0.008846205127026354
droid_0010,0,0.018332666717469692,0.005710437361683164
droid_0011,0,0.0677486446553043,0.007905430659385664
droid_0012,0,0.018547112122178078,0.005210540456963437
droid_0013,0,0.04266768241567271,0.008286818030423351
droid_0014,0,0.10138791959200587,0.008738532396299499
droid_0015,0,0.13465066945978574,0.009619550912507943
droid_0016,0,0.02189197231616293,0.0057593561609142595
droid_0017,0,0.018136748378830298,0.0050175050107230034
droid_0018,0,0.017890706126179014,0.005748239911294409
droid_0019,0,0.036679203755089214,0.0029758905709188965
droid_0020,0,0.020074485002883842,0.007537416415289044
droid_0021,0,0.055870662310293744,0.00895284887935434
droid_0022,0,0.5067216759281499,0.015018969940553819
droid_0023,0,0.11799991689622402,0.007009881664998829
droid_0024,0,0.01893912468637739,0.00684331711714289
droid_0025,0,0.028607774658926895,0.006867311329447797
droid_0026,0,0.05672119863863502,0.008852972216638071
droid_0027,0,0.01455362220960004,0.00747957918792963
droid_0028,0,0.014234166060175215,0.0059555517010656854
droid_0029,0,0.029996244369872978,0.0076823311392217875
