clip_id,n_windows,depth_rel_err_mean,depth_rel_err_std,rot_deg_mean,trans_err_mean,chamfer_mean
droid_0000,36,0.03547500984277576,0.02137094359249738,0.08156468719244003,0.0008144831675703505,0.023342044784554414
droid_0001,36,0.03458923167282982,0.01865017768882736,0.08224593017782483,0.002879615715106151,0.025848133702363288
droid_0002,34,0.09874990550010945,0.051062894080489536,0.08228827900055682,0.002159268835164381,0.06071032053141883
droid_0003,36,0.02547923995048872,0.013313588361895456,0.08156468719244003,0.0012984846045063542,0.016245831522558415
droid_0004,36,0.03980123618883746,0.020997168304578883,0.08156468719244003,0.002348559391352215,0.026054820977151394
droid_0005,20,0.06752875539180088,0.03344047965464925,0.08156468719244003,0.005927091798328452,0.06077425466164162
droid_0006,36,0.014312475570477545,0.009643067493676442,0.08156468719244003,0.0008967537183447608,0.012793584380831037
droid_0007,36,0.06664761929506702,0.04687260831565492,0.08156468719244003,0.0011331850991285006,0.03676940753523793
droid_0008,27,0.06721385752853866,0.04907061778335731,0.0821085451887204,0.002044881129292592,0.0324610429815948
droid_0009,36,0.040899872367403334,0.01989349158081625,0.08156468719244003,0.0007213335895877598,0.024804471034024445
droid_0010,36,0.0963760114208396,0.0644176381618074,0.0853946111031941,0.0037137254606932403,0.06856759121375425
droid_0011,36,0.08505279017013631,0.06142828448119463,0.08358405424015862,0.002186940874006333,0.04754916825996978
droid_0012,36,0.06489250278100371,0.049868321647704016,0.08180601000785828,0.001734397522938837,0.04521144631185702
droid_0013,36,0.051476227239306484,0.03354450230566201,0.08736484455210822,0.0023324025628556097,0.035331384784408976
droid_0014,36,0.042287529652406064,0.02942748591924479,0.09368195682764054,0.0041171872522681955,0.02969146916376693
droid_0015,36,0.07558634695596993,0.05393627996695928,0.08533169393028532,0.0026290647053558913,0.04388152430100101
droid_0016,36,0.03744417066087148,0.02320623787484656,0.0821543289082391,0.0008122487243131868,0.02379115018993616
droid_0017,36,0.05031386017134147,0.02614507264703165,0.08156468719244003,0.001239484326963845,0.026032349680151258
droid_0018,36,0.10708371473343245,0.05768448214127533,0.08218107372522354,0.0019737973742719205,0.04243748624409948
droid_0019,36,0.04435451773460954,0.02064495374596314,0.08413794487714768,0.002137156664892765,0.028807730068053518
droid_0020,36,0.024907353327476553,0.012904797719523903,0.08156468719244003,0.0006074529889571879,0.018748653254338672
droid_0021,22,0.052062324403474726,0.026420625519638165,0.08288635881174178,0.0015951063666891838,0.030445852627356846
droid_0022,36,0.0775072416556733,0.04270665625163552,0.0823076171534402,0.0027687445183151535,0.04037645209048476
droid_0023,36,0.05968020231729107,0.040457183072514134,0.08418572970799038,0.006569144041610083,0.042503574570374826
droid_0024,36,0.03377606397760766,0.016440827455332156,0.08272417166403362,0.0027281983464490624,0.020171192448054043
droid_0025,36,0.07311631353305918,0.03555079753041561,0.08156468719244003,0.0022404891380574552,0.038359847930925235
droid_0026,28,0.038647106003568125,0.014564375910667098,0.08190847795318675,0.0016615739883423816,0.02210349323986857
droid_0027,36,0.042836143166225936,0.03733739286826504,0.08167432014431272,0.0011558992409845814,0.024156764735068594
droid_0028,36,0.05685393103797521,0.03399713277590711,0.0830655255487987,0.001771720650555965,0.03134390312646117
droid_0029,36,0.05488509369481887,0.03180323980238048,0.08156468719244003,0.00046403927179718656,0.04292623022837298
