clip_id,manifest,pearson_r,p_value,n_pairs,mean_token_delta,mean_flow_mag
droid_0000,set_a,0.311535882447906,0.09994725769972349,29,4.271616458892822,0.06532457445202203
droid_0001,set_a,0.4326677057957187,0.01906581765674508,29,8.109231948852539,0.30563478004829636
droid_0002,set_a,0.3093693871137594,0.10245440982042617,29,5.165909767150879,0.25724637132651845
droid_0003,set_a,0.42669302530615894,0.020979921890496685,29,5.434401988983154,0.1788947305738412
droid_0004,set_a,0.47703855975751563,0.008881441617628869,29,6.049482822418213,0.2105444398676527
droid_0005,set_a,0.5824215512096395,0.0009166720540541333,29,8.988585472106934,0.6938534145532497
droid_0006,set_a,0.21355197868806075,0.2660011207430503,29,4.157141208648682,0.04556739561516663
droid_0007,set_a,0.47840276248317676,0.00866156616419191,29,4.028942108154297,0.20303313177207422
droid_0008,set_a,0.7646891451289969,1.367259791553592e-06,29,6.165992259979248,0.4214778605463176
droid_0009,set_a,0.46920638432692174,0.010236762151938588,29,5.797428131103516,0.22018161523637586
droid_0010,set_a,0.44294711221453503,0.01611014798587399,29,7.034786224365234,0.37957958343984755
droid_0011,set_a,0.6197960083676136,0.0003360684588234408,29,4.226423263549805,0.06210688960834824
droid_0012,set_a,0.16222367946723878,0.4004802597132715,29,4.263355255126953,0.035888597080162885
droid_0013,set_a,0.538313127838437,0.0025922658347081367,29,6.8236002922058105,0.4291488355475253
droid_0014,set_a,0.476032615687489,0.009046568342016106,29,6.629417896270752,0.19058872274412164
droid_0015,set_a,0.5065536831331455,0.0050463841801721586,29,9.736008644104004,0.6872912954924435
droid_0016,set_a,0.39583830126599073,0.0335381533829216,29,5.835339069366455,0.23710847324852286
droid_0017,set_a,0.2185973889714921,0.25460029396321987,29,4.421117305755615,0.04066756011211667
droid_0018,set_a,0.4258837899505151,0.021250903722051066,29,5.158472061157227,0.2946376548437723
droid_0019,set_a,0.6528710817117039,0.0001235725385487116,29,5.322581768035889,0.05238141536969563
droid_0020,set_a,0.21684122583330004,0.2585316215127114,29,4.593393325805664,0.118739388497739
droid_0021,set_a,0.7424295969341194,4.00671236404954e-06,29,7.559178352355957,0.7370734896896214
droid_0022,set_a,0.6473474215314866,0.0001472465325937533,29,7.975038051605225,1.0330974897690888
droid_0023,set_a,0.5141715369123393,0.004325884554532399,29,7.9147419929504395,0.17134297504250345
droid_0024,set_a,0.3451556966871164,0.06668703048240276,29,5.083502292633057,0.2255171301678337
droid_0025,set_a,0.447853603012386,0.01483947694604757,29,6.548381805419922,0.30084012644686575
droid_0026,set_a,0.47095953134568513,0.009919219962978232,29,6.081884860992432,0.43692126712793933
droid_0027,set_a,0.6383850037840855,0.00019427726240027382,29,3.9217357635498047,0.014343539413450093
droid_0028,set_a,0.5191746610860722,0.00390212576592713,29,5.803360462188721,0.30254334699490976
droid_0029,set_a,0.22222393561958584,0.24660665508103924,29,4.24455451965332,0.13605462807905058
