clip_id,manifest,pearson_r,p_value,n_pairs,mean_token_delta,mean_flow_mag
2011_09_26_drive_0001,set_c,0.3704998693386802,0.04787336876646027,29,12.418111801147461,13.794706640572384
2011_09_26_drive_0002,set_c,-0.040920270540402696,0.8330766875130199,29,11.910524368286133,12.368779050892797
2011_09_26_drive_0009,set_c,0.8027036476742738,1.61747755716845e-07,29,23.006282806396484,61.41410084428458
2011_09_26_drive_0013,set_c,-0.18967046076908212,0.32439759257097645,29,18.54570960998535,23.512192232855433
2011_09_26_drive_0014,set_c,0.6144364087094695,0.0003911001008101562,29,23.960865020751953,69.65466690063477
2011_09_26_drive_0017,set_c,0.5220424127348358,0.0036756466311274813,29,4.137849807739258,1.094741162554971
2011_09_26_drive_0018,set_c,0.6268580972383337,0.00027402905108202686,29,6.674452781677246,3.688808533780534
2011_09_26_drive_0019,set_c,0.09986029136940577,0.6062730194571295,29,28.995969772338867,80.85736675920158
2011_09_26_drive_0027,set_c,0.6133654504424589,0.00040300101328518664,29,20.816377639770508,54.46313950111126
2011_09_26_drive_0028,set_c,0.0646708471995462,0.7389129924151936,29,21.991493225097656,79.37178526253535
2011_09_26_drive_0029,set_c,0.6519286995468553,0.00012735503188174616,29,18.323015213012695,41.85623162368248
